date,jpm_daily_return,jpm_rolling_vol_5d,jpm_rolling_vol_20d,jpm_rolling_vol_60d,jpm_return_5d_sum,jpm_return_20d_sum,vix_level,vix_change,vix_return,vix_rolling_mean_20d,vix_jpm_corr_20d,dgs1_rate,dgs1_rate_change,dgs1_rate_momentum_20d,jpm_log_volume,jpm_dividend_amount,dividend_event_flag,dividend_growth_yoy,sentiment_score_0_1,market_stress_score_0_1,jpm_return_outlier_iqr,vix_level_outlier_iqr,jpm_daily_return_lag_1,jpm_daily_return_lag_5,jpm_daily_return_lag_20,jpm_rolling_vol_20d_lag_1,jpm_rolling_vol_20d_lag_5,jpm_rolling_vol_20d_lag_20,vix_level_lag_1,vix_level_lag_5,vix_level_lag_20,dgs1_rate_lag_1,dgs1_rate_lag_5,dgs1_rate_lag_20
2018-06-22,-0.0163706260800219,0.1209879879615275,0.2275350451595557,0.2114103467098254,-0.02012718280118864,-0.05052242427715414,13.77,-0.870000000000001,-0.0594262295081967,13.1875,-0.6589531239049746,2.33,-0.0099999999999997,0.0500000000000002,16.78484243774939,0.0,0,0.0,0.8743333333333334,0.1256666666666666,0,0,-0.000278780619774,-0.0012034224694851,-0.0112009243032356,0.2239966557907069,0.2351598527622988,0.1526480082176237,14.64,11.98,12.53,2.34,2.35,2.28
2018-06-25,-0.0090779309716313,0.1085641045841375,0.2285777255730936,0.2086607327381244,-0.03183830416326554,-0.05450392412509624,17.33,3.5599999999999987,0.2585330428467682,13.393,-0.614520104394402,2.34,0.0099999999999997,0.0699999999999998,16.64327384209371,0.0,0,0.0,0.7556666666666667,0.2443333333333333,0,0,-0.0163706260800219,0.002595096345886,-0.0051247102529428,0.2275350451595557,0.2297037170451847,0.1519676878480755,13.77,12.31,13.22,2.33,2.35,2.27
2018-06-26,0.0006676193516277,0.1198038805023873,0.1698392961552559,0.2049819938954087,-0.02532998503896474,-0.010152531241731147,15.92,-1.4099999999999984,-0.0813618003462203,13.338,-0.3694806402386671,2.33,-0.0099999999999997,0.1600000000000001,16.653816852081793,0.0,0,0.0,0.8026666666666666,0.1973333333333333,0,0,-0.0090779309716313,-0.0058238975067352,-0.0427435937415202,0.2285777255730936,0.2267727736688283,0.2181633334967008,17.33,13.35,17.02,2.34,2.34,2.17
2018-06-27,-0.0154487264815379,0.1293337900762692,0.1543171348399791,0.2051900266420315,-0.0408062162481119,-0.04831012075761325,17.91,1.99,0.125,13.4865,-0.3240839587412248,2.33,0.0,0.1,16.605251400458755,0.0,0,0.0,0.7363333333333333,0.2636666666666667,0,0,0.0006676193516277,-9.306594865843287e-05,0.0228453351748834,0.1698392961552559,0.2240153911934648,0.2341357254501503,15.92,12.79,14.94,2.33,2.36,2.23
2018-06-28,0.0163694235176372,0.2165131132354565,0.1629376002214701,0.2055910530325896,-0.024290507869639204,-0.019628798055343254,16.85,-1.0599999999999987,-0.059184812953657,13.5575,-0.3594255263740499,2.33,0.0,0.1,16.48905909632569,0.0,0,0.0,0.7716666666666666,0.2283333333333334,0,0,-0.0154487264815379,-0.000278780619774,-0.0123673220458755,0.1543171348399791,0.2239966557907069,0.23664491795902,17.91,14.64,15.43,2.33,2.34,2.23
2018-06-29,-0.0069570899389178,0.1935750477631654,0.155582616193269,0.2038990915182734,-0.014765805789706099,-0.039516070798355354,16.09,-0.7600000000000016,-0.0451038575667657,13.689000000000002,-0.25476489382365,2.33,0.0,0.0500000000000002,16.75849590216779,0.0,0,0.0,0.797,0.2029999999999999,0,0,0.0163694235176372,-0.0163706260800219,0.0129895095831216,0.1629376002214701,0.2275350451595557,0.2401058417550605,16.85,13.77,13.46,2.33,2.33,2.28
2018-07-02,0.008445510840789,0.1983402845915407,0.1597370661709694,0.1985277551871024,0.002763627722184702,-0.031567070740153254,15.6,-0.4900000000000002,-0.0304536979490366,13.832,-0.2682586510951252,2.34,0.0099999999999997,0.04,16.225154813098982,0.0,0,0.0,0.8133333333333334,0.1866666666666666,0,0,-0.0069570899389178,-0.0090779309716313,0.0004611532877398,0.155582616193269,0.2285777255730936,0.23688641666529,16.09,17.33,12.74,2.33,2.34,2.3
2018-07-03,-0.0139894783969731,0.2238285566912419,0.1653039864848145,0.198659168370089,-0.011992022310235197,-0.04001489764996915,16.14,0.5400000000000009,0.0346153846153847,14.019,-0.2843790162784638,2.33,-0.0099999999999997,0.0100000000000002,15.933174839025643,0.0,0,0.0,0.7953333333333333,0.2046666666666666,0,0,0.008445510840789,0.0006676193516277,-0.0056245491896004,0.1597370661709694,0.1698392961552559,0.2354088361145238,15.6,15.92,12.4,2.34,2.33,2.32
2018-07-05,0.006501791700509,0.1949644902278114,0.1405009586809272,0.1949112078284789,0.010058025404265303,-0.05663328058665455,14.97,-1.17,-0.0724907063197025,14.1855,-0.249932393820969,2.32,-0.0100000000000002,0.0,16.18793892075411,0.56,1,0.1200000000000001,0.8343333333333334,0.1656666666666666,0,0,-0.0139894783969731,-0.0154487264815379,0.0233679801300497,0.1653039864848145,0.1543171348399791,0.2444113520809952,16.14,17.91,11.64,2.33,2.33,2.32
2018-07-06,0.0032779776212668,0.1524631831862125,0.1400686335604159,0.1923529632543557,-0.0029062467232845953,-0.057339487123173244,13.37,-1.6000000000000014,-0.1068804275217102,14.2475,-0.3016284963428382,2.34,0.02,0.0299999999999998,16.31478852719554,0.0,0,0.0,0.8876666666666667,0.1123333333333332,0,0,0.006501791700509,0.0163694235176372,0.003986749327157,0.1405009586809272,0.1629376002214701,0.2311672916713593,14.97,16.85,12.13,2.32,2.33,2.31
